Model No.,Time(s),Accuracy
Model-0,766.11301612854,0.8460000157356262
Model-1,764.794748544693,0.7839999794960022
Model-2,766.8234946727753,0.7260000109672546
Model-3,767.6486957073212,0.8140000104904175
Model-4,769.7520554065704,0.7940000295639038
Model-5,765.9071083068848,0.8199999928474426
Model-6,766.5361595153809,0.777999997138977
Model-7,779.9108777046204,0.7580000162124634
Model-8,765.0365645885468,0.800000011920929
Model-9,770.5259387493134,0.7860000133514404
Model-10,771.9152729511261,0.8059999942779541
Model-11,786.7231080532074,0.8119999766349792
Model-12,775.2488856315613,0.8460000157356262
Model-13,772.0973906517029,0.7900000214576721
Model-14,773.3696758747101,0.7900000214576721
Model-15,774.3976595401764,0.8059999942779541
Model-16,772.4909265041351,0.8339999914169312
Model-17,774.8238937854767,0.7680000066757202
Model-18,770.9646298885345,0.7739999890327454
Model-19,775.2579092979431,0.7620000243186951
Model-20,770.0999557971954,0.7699999809265137
Model-21,780.0312523841858,0.8140000104904175
Model-22,771.0757167339325,0.8059999942779541
Model-23,768.2224190235138,0.8019999861717224
Model-24,773.2982971668243,0.8019999861717224
Model-25,773.1894228458405,0.7839999794960022
Model-26,772.8326184749603,0.7879999876022339
Model-27,773.90593957901,0.7900000214576721
Model-28,773.8728587627411,0.8180000185966492
Model-29,773.0474727153778,0.8399999737739563
