Model No.,Time(s),Accuracy
Model-0,270.93287992477417,0.9332000017166138
Model-1,268.12274074554443,0.9344000220298767
Model-2,268.4542019367218,0.9355999827384949
Model-3,267.89263558387756,0.9315000176429749
Model-4,268.17538380622864,0.9333999752998352
Model-5,267.7499928474426,0.9348000288009644
Model-6,267.7777509689331,0.9340000152587891
Model-7,267.80401372909546,0.9355000257492065
Model-8,267.7686131000519,0.9319999814033508
Model-9,267.7767765522003,0.9333000183105469
Model-10,267.9238591194153,0.9380999803543091
Model-11,267.93950295448303,0.9358000159263611
Model-12,268.06261134147644,0.9344000220298767
Model-13,268.57859110832214,0.9355999827384949
Model-14,268.16856265068054,0.9320999979972839
Model-15,268.34323596954346,0.9340999722480774
Model-16,267.6956491470337,0.929099977016449
Model-17,268.3635025024414,0.9319999814033508
Model-18,268.0218861103058,0.9332000017166138
Model-19,268.2398726940155,0.9358999729156494
Model-20,267.67335629463196,0.9340999722480774
Model-21,268.24005007743835,0.9369000196456909
Model-22,269.5621712207794,0.9336000084877014
Model-23,268.8048241138458,0.9334999918937683
Model-24,268.6951847076416,0.9351000189781189
Model-25,268.09953904151917,0.9355000257492065
Model-26,268.04847741127014,0.9337999820709229
Model-27,268.01660323143005,0.9351999759674072
Model-28,268.6037151813507,0.9327999949455261
Model-29,268.2398738861084,0.934499979019165
